,Artist,Title
666,Colbie Caillat,Bubbly
667,Ciara,Like A Boy
668,P!nk,Who Knew
669,Kelly Clarkson,Never Again
670,Ciara,Promise
671,J. Holiday,Bed
672,Rich Boy feat. Polow Da Don,Throw Some D’s
673,Amy Winehouse,Rehab
674,T.I.,Big Things Poppin’ (Do It)
675,Alicia Keys,No One
676,Boys Like Girls,The Great Escape
677,Unk,2 Step
678,Paula DeAnda feat. The DEY,Walk Away (Remember Me)
679,Young Jeezy feat. R. Kelly,Go Getta
680,Hellogoodbye,Here (In Your Arms)
681,Pretty Ricky,On The Hotline
682,Gwen Stefani,Wind It Up
683,Baby Bash feat. T-Pain,Cyclone
684,Rihanna & Sean Paul,Break It Off
685,Lifehouse,First Time
686,50 Cent feat. Justin Timberlake & Timbaland,Ayo Technology
687,Bow Wow feat. T-Pain & Johnta Austin,Outta My System
688,Taylor Swift,Teardrops On My Guitar
689,Rihanna,Shut Up And Drive
690,Red Hot Chili Peppers,Snow (Hey Oh)
692,Chris Brown feat. T-Pain,Kiss Kiss
694,Crime Mob feat. Lil Scrappy,Rock Yo Hips
695,Justin Timberlake,Lovestoned
696,Hinder,Better Than Me
697,Finger Eleven,Paralyzer
698,Snoop Dogg feat. R. Kelly,That’s That
699,R. Kelly and Usher,Same Girl
700,Flo Rida feat. T-Pain,Low
701,Leona Lewis,Bleeding Love
703,Lil Wayne feat. Static Major,Lollipop
705,Jordin Sparks Duet With Chris Brown,No Air
706,Sara Bareilles,Love Song
707,Usher feat. Young Jeezy,Love In This Club
708,Chris Brown,With You
709,Chris Brown,Forever
710,Ray J and Yung Berg,Sexy Can I
711,Rihanna,Take A Bow
712,Coldplay,Viva La Vida
713,Katy Perry,I Kissed A Girl
714,T.I.,Whatever You Like
715,Rihanna,Disturbia
716,Rihanna,Don’t Stop the Music
717,Natasha Bedingfield,Pocketful of Sunshine
718,Chris Brown feat. T-Pain,Kiss Kiss
719,Ne-Yo,Closer
721,Mariah Carey,Touch My Body
722,Madonna feat. Justin Timberlake,4 Minutes
723,P!nk,So What
725,Fergie,Clumsy
726,Jason Mraz,I’m Yours
727,Jesse McCartney,Leavin’
728,Kardinal Offishall feat. Akon,Dangerous
729,Jordin Sparks,Tattoo
730,Miley Cyrus,See You Again
731,Metro Station,Shake It
732,OneRepublic,Stop And Stare
733,Sean Kingston,Take You There
734,M.I.A.,Paper Planes
735,Katy Perry,Hot N Cold
736,T.I. feat. Rihanna,Live Your Life
737,Plies feat. Ne-Yo,Bust It Baby Part 2
738,Estelle feat. Kanye West,American Boy
739,Lil Wayne feat. T-Pain,Got Money
740,Taylor Swift,Our Song
741,Danity Kane,Damaged
742,Lil Wayne,A Milli
743,Buckcherry,Sorry
744,Webbie feat. Lil’ Phat & Lil’ Boosie,Independent
745,T-Pain feat. Lil Wayne,Can’t Believe It
746,Alicia Keys,Like You’ll Never See Me Again
748,The Pussycat Dolls,When I Grow Up
749,Snoop Dogg,Sensual Seduction
750,Colby O’Donis feat. Akon,What You Got
751,3 Doors Down,It’S Not My Time
752,Leona Lewis,Better In Time
754,Linkin Park,Shadow Of The Day
755,"Wyclef Jean feat. Akon, Lil Wayne & Niia",Sweetest Girl (Dollar Bill)
756,Ne-Yo,Miss Independent
757,Secondhand Serenade,Fall For You
758,Flo Rida feat. will.i.am,In The Ayer
759,John Mayer,Say
760,Jordin Sparks,One Step at A Time
761,Rihanna feat. Ne-Yo,Hate That I Love You
762,Lupe Fiasco feat. Matthew Santos,Superstar
763,J. Holiday,Suffocate
764,Kevin Rudolf feat. Lil Wayne,Let It Rock
765,David Banner feat. Chris Brown,Get Like Me
766,Colbie Caillat,Realize
767,Young Jeezy feat. Kanye West,Put On
768,David Cook,The Time Of My Life
769,"Three 6 Mafia feat. Project Pat, Young D and Superpower",Lolli Lolli (Pop That Body)
771,Natasha Bedingfield feat. Sean Kingston,Love Like This
772,Jonas Brothers,Burnin’ Up
773,Kanye West,Love Lockdown
774,The-Dream,I Luv Your Girl
775,David Archuleta,Crush
776,Plies feat. Akon,Hypnotized
778,Kanye West feat. T-Pain,Good Life
779,Britney Spears,Womanizer
780,Taylor Swift,Love Story
781,Mary J. Blige,Just Fine
782,Britney Spears,Piece Of Me
783,Rick Ross feat. T-Pain,The Boss
784,Kid Rock,All Summer Long
785,Trey Songz,Can’t Help But Wait
786,Gavin DeGraw,In Love With A Girl
787,The Game feat. Lil Wayne,My Life
788,Keyshia Cole,I Remember
789,Kanye West feat. Dwele,Flashing Lights
790,Lil Wayne feat. Bobby Valentino & Kidd Kidd,Mrs. Officer
791,Miley Cyrus,7 Things
792,Trace Adkins,You’re Gonna Miss This
793,Gavin Rossdale,Love Remains The Same
794,Daughtry,Feels Like Tonight
796,Saving Abel,Addicted
797,Santana feat. Chad Kroeger,Into The Night
798,Keyshia Cole,Heaven Sent
799,2 Pistols feat. T-Pain and Tay Dizm,She Got It
800,The Black Eyed Peas,Boom Boom Pow
801,Lady Gaga,Poker Face
802,Lady Gaga feat. Colby O’Donis,Just Dance
803,The Black Eyed Peas,I Gotta Feeling
805,Flo Rida,Right Round
807,Beyonce,Single Ladies (Put A Ring On It)
808,Kanye West,Heartless
809,The All-American Rejects,Gives You Hell
810,Taylor Swift,You Belong With Me
811,T.I. feat. Justin Timberlake,Dead And Gone
812,The Fray,You Found Me
813,Kings Of Leon,Use Somebody
814,Keri Hilson feat. Kanye West and Ne-Yo,Knock You Down
815,Jamie Foxx feat. T-Pain,Blame It
816,Pitbull,I Know You Want Me (Calle Ocho)
818,Soulja Boy Tell ’em feat. Sammie,Kiss Me Thru The Phone
819,Jay Sean feat. Lil Wayne,Down
820,Miley Cyrus,The Climb
821,Drake,Best I Ever Had
822,Kelly Clarkson,My Life Would Suck Without You
823,Beyonce,Halo
824,Katy Perry,Hot n Cold
825,Shinedown,Second Chance
826,Britney Spears,Circus
827,Kid Cudi,Day ‘n’ Nite
828,Miley Cyrus,Party in the U.S.A.
829,3OH!3,Don’t Trust Me
830,"Jay-Z, Rihanna and Kanye West",Run This Town
832,Sean Kingston,Fire Burning
833,Jason DeRulo,Whatcha Say
834,Lady Gaga,Lovegame
835,Katy Perry,Waking Up In Vegas
836,Jeremih,Birthday Sex
837,P!nk,Sober
838,Britney Spears,Womanizer
840,Mariah Carey,Obsessed
841,Ne-Yo,Mad
842,Cobra Starship feat. Leighton Meester,Good Girls Go Bad
845,Pitbull,Hotel Room Service
846,"Eminem, Dr. Dre and 50 Cent",Crack A Bottle
847,Beyonce,If I Were A Boy
848,Keri Hilson feat. Lil Wayne,Turning Me On
849,The Pussycat Dolls,I Hate This Part
850,Nickelback,Gotta Be Somebody
851,P!nk,Please Don’t Leave Me
852,Lady Gaga,Paparazzi
853,Akon feat. Colby O’Donis and Kardinal Offishall,Beautiful
854,Coldplay,Viva la Vida
855,Akon,Right Now (Na Na Na)
856,Jordin Sparks,Battlefield
857,Flo Rida feat. Wynter,Sugar
859,Owl City,Fireflies
860,Linkin Park,New Divide
861,Jay-Z + Alicia Keys,Empire State Of Mind
862,Daughtry,No Surprise
863,Shakira,She Wolf
864,Mario feat. Gucci Mane and Sean Garrett,Break Up
865,Beyonce,Sweet Dreams
866,Young Money,Every Girl
867,Colbie Caillat,Fallin’ For You
868,The Veronicas,Untouched
869,Nickelback,If Today Was Your Last Day
870,Fabolous feat. The-Dream,Throw It In The Bag
871,Boys Like Girls,Love Drunk
872,Asher Roth,I Love College
873,Britney Spears,If U Seek Amy
874,Jason Aldean,Big Green Tractor
875,Taylor Swift,White Horse
877,Green Day,21 Guns
878,Soulja Boy Tell’em,Turn My Swag On
879,The-Dream,Rockin’ That Thang
880,Zac Brown Band,Chicken Fried
881,Beyonce,Diva
882,Iyaz,Replay
883,Brad Paisley,Then
884,Rob Thomas,Her Diamonds
885,Jesse McCartney feat. Ludacris,How Do You Sleep?
886,Britney Spears,3
887,"Drake feat. Kanye West, Lil Wayne and Eminem",Forever
888,Justin Bieber,One Time
889,Lady Antebellum,I Run To You
890,Kelly Clarkson,I Do Not Hook Up
891,John Legend feat. Andre 3000,Green Light
892,Billy Currington,People Are Crazy
893,Zac Brown Band,Whatever It Is
894,Kelly Clarkson,Already Gone
895,Kristinia DeBarge,Goodbye
896,Michael Franti and Spearhead feat. Cherine Anderson,Say Hey (I Love You)
897,Jim Jones and Ron Browz feat. Juelz Santana,Pop Champagne
898,Maxwell,Pretty Wings
899,The Fray,Never Say Never
900,Ke$ha,TiK ToK
901,Lady Antebellum,Need You Now
902,Train,"Hey, Soul Sister"
903,Katy Perry feat. Snoop Dogg,California Gurls
904,Usher feat. will.i.am,OMG
905,B.o.B feat. Hayley Williams,Airplanes
906,Eminem feat. Rihanna,Love The Way You Lie
907,Lady Gaga,Bad Romance
908,Taio Cruz,Dynamite
909,Taio Cruz feat. Ludacris,Break Your Heart
910,B.o.B feat. Bruno Mars,Nothin’ On You
911,Enrique Iglesias feat. Pitbull,I Like It
912,Young Money feat. Lloyd,Bedrock
913,Jason Derulo,In My Head
914,Rihanna,Rude Boy
915,Lady Gaga feat. Beyonce,Telephone
916,Katy Perry,Teenage Dream
917,Bruno Mars,Just The Way You Are
918,Mike Posner,Cooler Than Me
919,Black Eyed Peas,Imma Be
920,Jay-Z and Alicia Keys,Empire State of Mind
921,Usher feat. Pitbull,DJ Got Us Fallin’ in Love
922,Travie McCoy feat. Bruno Mars,Billionaire
923,Eminem,Not Afraid
925,David Guetta feat. Akon,Sexy Chick
926,The Script,Breakeven
927,Ke$ha,Your Love Is My Drug
928,Black Eyed Peas,I Gotta Feeling
930,Trey Songz feat. Fabolous,Say Aah
931,Drake,Find Your Love
932,Lady Gaga,Alejandro
933,Jason Derulo,Ridin’ Solo
934,Nelly,Just A Dream
935,Ludacris,How Low
936,Far East Movement feat. The Cataracs and Dev,Like A G6
937,Timbaland feat. Justin Timberlake,Carry Out
938,Michael Buble,Haven’t Met You Yet
939,Flo Rida feat. David Guetta,Club Can’t Handle Me
941,La Roux,Bulletproof
942,Jason Derulo,Whatcha Say
943,Justin Bieber feat. Ludacris,Baby
944,Adam Lambert,Whataya Want From Me
945,Taylor Swift,Mine
946,Rihanna,Only Girl (In The World)
947,Kris Allen,Live Like We’re Dying
948,Rihanna feat. Jeezy,Hard
949,Jay-Z and Mr. Hudson,Young Forever
950,Ke$ha feat. 3OH!3,Blah Blah Blah
951,Trey Songz feat. Nicki Minaj,Bottoms Up
952,Jay Sean feat. Sean Paul & Lil Jon,Do You Remember
953,OneRepublic,All The Right Moves
954,Orianthi,According To You
955,Ludacris feat. Nicki Minaj,My Chick Bad
957,Black Eyed Peas,Meet Me Halfway
958,Ke$ha,Take It Off
959,Drake,Over
960,Neon Trees,Animal
961,Maroon 5,Misery
962,B.o.B feat. Rivers Cuomo,Magic
964,New Boyz feat. Ray J,Tie Me Down
965,Nicki Minaj,Your Love
966,Miley Cyrus,Party In The U.S.A.
967,Chris Brown feat. Tyga and Kevin McCall,Deuces
969,Shontelle,Impossible
971,Boys Like Girls feat. Taylor Swift,Two Is Better Than One
972,3OH!3 feat. Ke$ha,My First Kiss
974,Black Eyed Peas,Rock That Body
975,OneRepublic,Secrets
976,Selena Gomez and The Scene,Naturally
977,Alicia Keys,Un-Thinkable (I’m Ready)
978,"DJ Khaled feat. T-Pain, Ludacris, Snoop Dogg and Rick Ross",All I Do Is Win
979,"Kevin Rudolf feat. Birdman, Jay Sean, & Lil Wayne",I Made It (Cash Money Heroes)
980,Sugarland,Stuck Like Glue
981,Usher feat. Plies,Hey Daddy (Daddy’s Home)
982,Usher,There Goes My Baby
983,Taylor Swift,Today Was A Fairytale
984,Timbaland feat. Drake,Say Something
986,Kings of Leon,Use Somebody
987,Carrie Underwood,Undo It
988,Sean Kingston and Justin Bieber,Eenie Meenie
989,Lil Wayne feat. Drake,Right Above It
990,Miranda Lambert,The House That Built Me
991,The Band Perry,If I Die Young
992,Paramore,The Only Exception
993,Lady Antebellum,American Honey
994,Sara Bareilles,King Of Anything
995,Daughtry,Life After You
996,Uncle Kraker,Smile
997,Cali Swag District,Teach Me How To Dougie
998,Alicia Keyes,Try Sleeping With A Broken Heart
999,Jerrod Niemann,"Lover, Lover"
1000,Adele,Rolling In The Deep
1001,LMFAO feat. Lauren Bennett & GoonRock,Party Rock Anthem
1002,Katy Perry,Firework
1003,Katy Perry feat. Kanye West,E.T.
1004,"Pitbull feat. Ne-Yo, Afrojack & Nayer",Give Me Everything
1005,Bruno Mars,Grenade
1006,Cee Lo Green,FucK You
1007,Nicki Minaj,Super Bass
1008,Maroon 5 feat. Christina Aguilera,Moves Like Jagger
1009,The Black Eyed Peas,Just Can’t Get Enough
1010,Jennifer Lopez feat. Pitbull,On The Floor
1011,Rihanna,S&M
1012,Foster The People,Pumped Up Kicks
1013,Katy Perry,Last Friday Night (T.G.I.F.)
1015,Enrique Iglesias,Tonight
1016,P!Nk,Raise Your Glass
1017,Lady Gaga,Born This Way
1018,P!Nk,F**Kin’ Perfect
1019,Rihanna feat. Drake,What’s My Name?
1020,Chris Brown feat. Lil Wayne & Busta Rhymes,Look At Me Now
1021,Jeremih feat. 50 Cent,Down On Me
1022,Lil Wayne,How To Love
1023,Adele,Someone Like You
1024,OneRepublic,Good Life
1025,Bruno Mars,The Lazy Song
1026,Britney Spears,Till The World Ends
1027,Lupe Fiasco,The Show Goes On
1028,Lady Gaga,The Edge Of Glory
1029,Ke$Ha,We R Who We R
1030,Wiz Khalifa,Black And Yellow
1031,Hot Chelle Rae,Tonight Tonight
1032,Ke$Ha,Blow
1033,Bad Meets Evil feat. Bruno Mars,Lighters
1034,The Band Perry,If I Die Young
1035,Gym Class Heroes feat. Adam Levine,Stereo Hearts
1036,The Black Eyed Peas,The Time (Dirty Bit)
1037,Diddy – Dirty Money feat. Skylar Grey,Coming Home
1038,Pitbull feat. T-Pain,Hey Baby (Drop It To The Floor)
1040,Lil Wayne feat. Cory Gunz,6 Foot 7 Foot
1041,Lady Antebellum,Just A Kiss
1042,Jason Aldean,Dirt Road Anthem
1044,Waka Flocka Flame feat. Roscoe Dash & Wale,No Hands
1045,Britney Spears,I Wanna Go
1046,"DJ Khaled feat. Drake, Rick Ross & Lil Wayne",I’m On One
1047,Cobra Starship feat. Sabi,You Make Me Feel…
1048,Chris Brown,Yeah 3x
1049,Nicki Minaj feat. Drake,Moment 4 Life
1050,Dr. Dre feat. Eminem & Skylar Grey,I Need A Doctor
1052,Kelly Rowland feat. Lil Wayne,Motivation
1053,Edward Maya & Vika Jigulina,Stereo Love
1054,Christina Perri,Jar Of Hearts
1055,Wiz Khalifa,Roll Up
1056,LMFAO,Sexy And I Know It
1057,Far*East Movement feat. Ryan Tedder,Rocketeer
1058,Kanye West,All Of The Lights
1059,Britney Spears,Hold It Against Me
1060,Usher,More
1061,Avril Lavigne,What The Hell
1062,Tinie Tempah feat. Eric Turner,Written In The Stars
1064,Usher feat. Pitbull,DJ Got Us Fallin’ In Love
1065,The Script,For The First Time
1066,Blake Shelton,Honey Bee
1067,Jason Aldean With Kelly Clarkson,Don’t You Wanna Stay
1068,Rihanna feat. Calvin Harris,We Found Love
1069,Keri Hilson,Pretty Girl Rock
1070,Lady Gaga,You And I
1071,Far*East Movement feat. Cataracs & Dev,Like A G6
1072,David Guetta feat. Usher,Without You
1073,Taylor Swift,Back To December
1075,Eli Young Band,Crazy Girl
1076,Rihanna,Cheers (Drink To That)
1077,Selena Gomez & The Scene,Who Says
1078,Jake Owen,Barefoot Blue Jean Night
1079,Zac Brown Band feat. Jimmy Buffett,Knee Deep
1080,Luke Bryan,Country Girl (Shake It For Me)
1081,Brad Paisley With Carrie Underwood,Remind Me
1082,Dev,In The Dark
1083,New Boyz feat. The Cataracs & Dev,Backseat
1084,Drake,Headlines
1085,Beyonce,Best Thing I Never Had
1086,Jason Derulo,Don’t Wanna Go Home
1087,David Guetta feat. Flo Rida & Nicki Minaj,Where Them Girls At
1088,Chris Brown,She Ain’t You
1089,Rodney Atkins,Take A Back Road
1090,Mike Posner,Please Don’t Go
1091,Miguel,Sure Thing
1092,Jessie J feat. B.O.B,Price Tag
1093,Blake Shelton,God Gave Me You
1094,Lil Wayne feat. Drake,She Will
1095,Thompson Square,Are You Gonna Kiss Me Or Not
1097,Kenny Chesney feat. Grace Potter,You And Tequila
1098,Zac Brown Band,Colder Weather
1099,Big Sean feat. Chris Brown,My Last
1100,Gotye feat. Kimbra,Somebody That I Used To Know
1101,Carly Rae Jepsen,Call Me Maybe
1102,fun. feat. Janelle Monae,We Are Young
1103,Maroon 5 feat. Wiz Khalifa,Payphone
1104,Ellie Goulding,Lights
1105,The Wanted,Glad You Came
1106,Kelly Clarkson,Stronger (What Doesn’t Kill You)
1107,Rihanna feat. Calvin Harris,We Found Love
1108,Nicki Minaj,Starships
1109,One Direction,What Makes You Beautiful
1110,Flo Rida feat. Sia,Wild Ones
1111,Adele,Set Fire To The Rain
1113,fun.,Some Nights
1114,Katy Perry,Wide Awake
1115,Flo Rida,Good Feeling
1116,Flo Rida,Whistle
1117,Maroon 5,One More Night
1118,Train,Drive By
1119,Drake feat. Lil Wayne,The Motto
1120,Rihanna,Where Have You Been
1121,Neon Trees,Everybody Talks
1122,Drake feat. Rihanna,Take Care
1123,David Guetta feat. Sia,Titanium
1124,Jason Mraz,I Won’t Give Up
1125,Bruno Mars,It Will Rain
1126,"Kanye West, Big Sean, Pusha T, 2 Chainz",Mercy
1127,Justin Bieber,Boyfriend
1129,Alex Clare,Too Close
1130,Katy Perry,Part Of Me
1131,Snoop Dogg and Wiz Khalifa feat. Bruno Mars,"Young, Wild & Free"
1132,Taylor Swift,We Are Never Ever Getting Back Together
1133,Justin Bieber feat. Big Sean,As Long as You Love Me
1134,David Guetta feat. Nicki Minaj,Turn Me On
1136,P!nk,Blow Me (One Last Kiss)
1137,Owl City and Carly Rae Jepsen,Good Time
1138,Demi Lovato,Give Your Heart A Break
1139,Jay Z and Kanye West,Ni**As In Paris
1140,Katy Perry,The One That Got Away
1141,Calvin Harris,Feel So Close
1143,Usher,Scream
1144,Tyga,Rack City
1145,Jessie J,Domino
1146,PSY,Gangnam Style
1147,Pitbull feat. Chris Brown,International Love
1148,Phillip Phillips,Home
1150,Gym Class Heroes feat. Neon Hitch,Ass Back Home
1151,Hunter Hayes,Wanted
1152,Luke Bryan,Drunk On You
1153,2 Chainz feat. Drake,No Lie
1154,Cher Lloyd,Want U Back
1155,Chris Brown,Don’t Wake Me Up
1156,Big Sean feat. Nicki Minaj,Dance (A$$)
1157,Eric Church,Springsteen
1158,Karmin,Brokenhearted
1159,Gavin DeGraw,Not Over You
1161,Pitbull,Back In Time
1162,J. Cole,Work Out
1163,Adele,Rumour Has It
1164,Calvin Harris feat. Ne-Yo,Let’s Go
1165,Carrie Underwood,Good Girl
1166,Little Big Town,Pontoon
1167,The Lumineers,Ho Hey
1168,Coldplay,Paradise
1169,Carrie Underwood,Blown Away
1171,Usher,Climax
1172,Wiz Khalifa,"Work Hard, Play Hard"
1173,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself)
1174,Nicki Minaj,Pound The Alarm
1175,Kenny Chesney,Come Over
1176,Trey Songz,Heart Attack
1177,Kirko Bangz,Drank In My Cup
1178,Rihanna feat. Chris Brown,Birthday Cake
1179,B.o.B,So Good
1180,Train,50 Ways To Say Goodbye
1181,Toby Keith,Red Solo Cup
1182,Selena Gomez and The Scene,Love You Like A Love Song
1183,Chris Brown,Turn Up The Music
1184,Ke$ha,Die Young
1185,T-Pain feat. Wiz Khalifa and Lily Allen,5 O’Clock
1186,Christina Perri,A Thousand Years
1187,Jason Aldean,Take A Little Ride
1188,Rihanna,You Da One
1189,Havana Brown feat. Pitbull,We Run The Night
1190,Imagine Dragons,It’s Time
1191,Ca$h Out,Cashin’ Out
1192,Luke Bryan,I Don’t Want This Night To End
1193,Rihanna,Diamonds
1194,Lee Brice,Hard To Love
1195,Kip Moore,Somethin’ ‘Bout A Truck
1196,Miguel,Adorn
1197,Jason Aldean,Fly Over States
1198,Eli Young Band,Even If It Breaks Your Heart
1199,Linkin Park,Burn It Down
1200,Macklemore & Ryan Lewis Featuring Ray Dalton ,Can’t Hold Us
1201,Baauer ,Harlem Shake
1202,P!nk Featuring Nate Ruess ,Just Give Me A Reason
1203,Robin Thicke Featuring T.I. + Pharrell ,Blurred Lines
1204,Lorde ,Royals
1206,Katy Perry ,Roar
1207,Justin Timberlake ,Mirrors
1208,Daft Punk Featuring Pharrell Williams ,Get Lucky
1209,Miley Cyrus,We Can’t Stop
1210,Miley Cyrus,Wrecking Ball
1211,will.i.am &BritneySpears ,Scream & Shout
1212,Justin Timberlake Featuring Jay Z ,Suit & Tie
1213,Rihanna Featuring Mikky Ekko ,Stay
1214,Eminem ,Berzerk
1215,Eminem Featuring Rihanna ,The Monster
1216,Drake Featuring MajidJordan,"Hold On, We’re Going Home"
1217,Florida Georgia Line Featuring Nelly ,Cruise
1218,Bruno Mars,Treasure
1219,Avicii ,Wake Me Up!
1220,Jay Z Featuring Justin Timberlake ,Holy Grail
1221,Drake ,Started From The Bottom
1222,Anna Kendrick ,Cups (Pitch Perfect’s When I’m Gone)
1223,Selena Gomez ,Come & Get It
1224,Lady Gaga ,Applause
1225,One Direction ,Story Of My Life
1226,Imagine Dragons ,Demons
1227,Pitbull Featuring Christina Aguilera ,Feel This Moment
1228,Zedd Featuring Foxes ,Clarity
1229,Ylvis ,The Fox
1230,LilWayneFeaturing Drake & Future ,Love Me
1231,Icona Pop Featuring Charli XCX ,I Love It
1232,Capital Cities ,Safe And Sound
1233,OneRepublic ,Counting Stars
1234,Demi Lovato ,Heart Attack
1235,Ariana Grande Featuring Mac Miller ,The Way
1236,Maroon 5 ,Love Somebody
1237,Lana Del Rey & Cedric Gervais ,Summertime Sadness
1238,Macklemore & Ryan Lewis FeatMary Lambert ,Same Love
1239,"Mike WiLL Made-It FeaturingMiley Cyrus, Wiz Khalifa & Juicy J",23
1240,PSY ,Gentleman
1241,Passenger ,Let Her Go
1242,Blake Shelton FeatPistolAnnies& Friends ,Boys ‘Round Here
1243,Fall Out Boy , Light Em Up
1244,2 Chainz & Wiz Khalifa ,We Own It (Fast & Furious)
1245,Luke Bryan ,That’s My Kind Of Night
1246,Eminem ,Survival
1247,will.i.am Featuring Justin Bieber ,#thatPOWER
1248,CalvinHarris Featuring Ellie Goulding ,I Need Your Love
1249,Mariah Carey Featuring Miguel ,#Beautiful
1250,Eminem ,Rap God
1251,Darius Rucker ,Wagon Wheel
1252,Luke Bryan , Crash My Party
1253,Jason Derulo ,The Other Side
1254,One Direction ,Best Song Ever
1255,Rihanna ,Pour It Up
1256,fun. ,Carry On
1257,Miranda Lambert ,Mama’s Broken Heart
1258,J. Cole Featuring Miguel ,Power Trip
1259,Taylor Swift ,22
1260,Rocko Featuring Future & Rick Ross ,U.O.E.N.O.
1261,Drake Featuring 2 Chainz & Big Sean ,All Me
1262,Pitbull Featuring Ke$ha ,Timber
1263,Tim McGraw With Taylor Swift ,Highway Don’t Care
1264,HunterHayes ,I Want Crazy
1265,YG Featuring Jeezy & Rich Homie Quan ,My Hitta
1266,ChrisBrownFeaturing Nicki Minaj ,Love More
1267,Paramore ,Still Into You
1268,Blake Shelton ,Sure Be Cool If You Did
1269,Olly Murs Featuring Flo Rida ,Troublemaker
1270,Phillip Phillips ,"Gone, Gone, Gone"
1271,Thomas Rhett ,It Goes Like This
1272,Robin Thicke Featuring Kendrick Lamar ,Give It 2 U
1273,Katy Perry ,Unconditionally
1274,Emeli Sande ,Next To Me
1275,Ke$ha ,C’Mon
1276,Wale Featuring Tiara Thomas ,Bad
1277,Ciara ,Body Party
1278,J. Cole Featuring TLC ,Crooked Smile
1279,Randy Houser ,Runnin’ Outta Moonlight
1280,Wale Featuring Tiara Thomas Or Rihanna ,Bad
1281,Bruno Mars,Gorilla
1282,Florida Georgia Line ,Get Your Shine On
1283,Lady Antebellum ,Downtown
1284,Justin Timberlake ,Take Back The Night
1285,Avril Lavigne ,Here’s To Never Growing Up
1286,Brett Eldredge ,Don’t Ya
1287,Florida Georgia Line ,Round Here
1288,Selena Gomez ,Slow Down
1289,Sage The Gemini Featuring IamSu ,Gas Pedal
1290,Lady Gaga ,Venus
1291,Kendrick Lamar ,"Bitch, Don’t Kill My Vibe"
1292,AceHood Featuring Future & Rick Ross , Bugatti
1293,The Neighbourhood ,Sweater Weather
1294,Tyler Farr ,Redneck Crazy
1295,Krewella ,Alive
1296,Sara Bareilles ,Brave
1297,The FiNATTiCZ ,Don’t Drop That Thun Thun!
1298,Justin Timberlake ,TKO
1299,Pharrell Williams,Happy
1300,Katy Perry feat. Juicy J,Dark Horse
1301,John Legend,All Of Me
1302,Iggy Azalea feat. Charli XCX,Fancy
1303,OneRepublic,Counting Stars
1304,Jason Derulo feat. 2 Chainz,Talk Dirty
1305,MAGIC!,Rude
1306,Meghan Trainor,All About That Bass
1307,Ariana Grande feat. Iggy Azalea,Problem
1308,Sam Smith,Stay With Me
1309,Pitbull feat. Ke$ha,Timber
1310,Bastille,Pompeii
1311,Taylor Swift,Shake It Off
1312,Nico and Vinz,Am I Wrong
1313,DJ Snake and Lil Jon,Turn Down For What
1314,Eminem feat. Rihanna,The Monster
1315,A Great Big World and Christina Aguilera,Say Something
1316,Lorde,Team
1317,Passenger,Let Her Go
1318,Lorde,Royals
1319,Idina Menzel,Let It Go
1320,Avicii,Wake Me Up!
1321,Imagine Dragons,Demons
1322,One Direction,Story Of My Life
1323,Sia,Chandelier
1324,Iggy Azalea feat. Rita Ora,Black Widow
1325,"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang
1326,Disclosure feat. Sam Smith,Latch
1327,Maroon 5,Maps
1328,Chris Brown feat. Lil Wayne and French Montana or Too $hort or Tyga,Loyal
1329,American Authors,Best Day Of My Life
1330,Tove Lo,Habits (Stay High)
1331,Calvin Harris,Summer
1332,Charli XCX,Boom Clap
1333,Beyonce feat. Jay Z,Drunk In Love
